Year,Iron ore_BB,Scrap_BB,DRI_BB,Iron ore_H2,Scrap_H2,DRI_H2,Iron ore_EAF,Scrap_EAF,DRI_EAF
2025,2623590.0,615410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,3239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,32390.0,971700.0,2234910.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,32390.0,971700.0,2234910.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,32390.0,971700.0,2234910.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,32390.0,971700.0,2234910.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,32390.0,971700.0,2234910.0,0.0,0.0,0.0
