Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2035,1974918772860.0,0.0,6570226117220.0,8545144890080.0,114065332.61309999,94616016.0,26993392.8,104077617.60000001,31724193.6,16418661.6,4452518.4,96883514.64,66253674.95999999,3329330.4,65528883.42,101271910.74,13719545.84,19920000.0,0.0,0.0,119160.0,3574800.0,8222040.0,129220.0,12792780.0,0.0,5.0,4.0,4.0
2036,4371855193630.0,0.0,6503786271030.0,10875641464660.0,92103322.36017,74491113.4,21251876.47,81940224.74,24976432.14,12926399.09,3505464.16,131332612.62,89811649.17999999,4513148.2,65528883.42,101271910.74,13719545.84,15683000.0,0.0,0.0,161530.0,4845900.0,11145570.0,129220.0,12792780.0,0.0,4.0,5.0,4.0
2037,4259385942720.0,0.0,6439055639670.0,10698441582390.0,70706301.27825,54883939.0,15658064.95,60372332.9,18402261.9,9523977.65,2582773.6,164895481.73999998,112763576.86,5666511.399999999,65528883.42,101271910.74,13719545.84,11555000.0,0.0,0.0,202810.0,6084300.0,13993890.0,129220.0,12792780.0,0.0,3.0,6.0,4.0
2038,0.0,0.0,6439055639670.0,6439055639670.0,70706301.27825,54883939.0,15658064.95,60372332.9,18402261.9,9523977.65,2582773.6,164895481.73999998,112763576.86,5666511.399999999,65528883.42,101271910.74,13719545.84,11555000.0,0.0,0.0,202810.0,6084300.0,13993890.0,129220.0,12792780.0,0.0,3.0,6.0,4.0
2039,0.0,0.0,6439055639670.0,6439055639670.0,70706301.27825,54883939.0,15658064.95,60372332.9,18402261.9,9523977.65,2582773.6,164895481.73999998,112763576.86,5666511.399999999,65528883.42,101271910.74,13719545.84,11555000.0,0.0,0.0,202810.0,6084300.0,13993890.0,129220.0,12792780.0,0.0,3.0,6.0,4.0
2040,8183427788690.0,0.0,6314690659700.0,14498118448390.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.84,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2041,0.0,0.0,6314690659700.0,6314690659700.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.84,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2042,0.0,1526062413600.0,6314690659700.0,7840753073300.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.839999989,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2043,0.0,0.0,6314690659700.0,6314690659700.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.84,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2044,0.0,0.0,6314690659700.0,6314690659700.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.84,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2045,0.0,0.0,6314690659700.0,6314690659700.0,29596859.85366,17213275.2,4910846.16,18934602.72,5771509.92,2987009.52,810036.48,229378794.48,156860412.72000003,7882432.799999999,65528883.42,101271910.74,13719545.84,3624000.0,0.0,0.0,282120.0,8463600.0,19466280.0,129220.0,12792780.0,0.0,1.0,8.0,4.0
2046,5105682665500.0,0.0,6610192889150.0,11715875554650.0,43675671.31752,32597877.4,9299982.67,35857665.14,10929876.54,5656690.49,1534017.76,229378794.48,156860412.72000003,7882432.799999999,49103558.13,75887317.11,10280634.76,6863000.0,0.0,0.0,282120.0,8463600.0,19466280.0,96830.0,9586170.0,0.0,2.0,8.0,3.0
2047,0.0,0.0,6610192889150.0,6610192889150.0,43675671.31752,32597877.4,9299982.67,35857665.14,10929876.54,5656690.49,1534017.76,229378794.48,156860412.72000003,7882432.799999999,49103558.13,75887317.11,10280634.76,6863000.0,0.0,0.0,282120.0,8463600.0,19466280.0,96830.0,9586170.0,0.0,2.0,8.0,3.0
2048,0.0,0.0,6610192889150.0,6610192889150.0,43675671.31752,32597877.4,9299982.67,35857665.14,10929876.54,5656690.49,1534017.76,229378794.48,156860412.72000003,7882432.799999999,49103558.13,75887317.10999998,10280634.76,6863000.0,0.0,0.0,282120.0,8463600.0,19466280.0,96830.0,9586170.0,0.0,2.0,8.0,3.0
2049,0.0,0.0,6610192889150.0,6610192889150.0,43675671.31752,32597877.4,9299982.67,35857665.14,10929876.54,5656690.49,1534017.76,229378794.48,156860412.72000003,7882432.799999999,49103558.13,75887317.11,10280634.76,6863000.0,0.0,0.0,282120.0,8463600.0,19466280.0,96830.0,9586170.0,0.0,2.0,8.0,3.0
2050,397162752000.0,1794257672910.0,6513486738750.0,8704907163660.0,44746689.74952,32597877.4,9299982.67,35857665.14,10929876.54,5656690.49,1534017.76,218971703.28,149743535.92000002,7524800.799999999,55594578.93,85918894.71,11639636.36,6863000.0,0.0,0.0,269319.9999999999,8079600.0,18583080.0,109629.9999999999,10853370.0,0.0,2.0,7.0,4.0
