Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2025,33393119262350.0,0.0,7935986375240.0,41329105637590.0,231998030.42262,212591548.39999995,60651118.22,233850703.24,71280695.64,36890886.34,10004308.159999998,0.0,0.0,0.0,0.0,0.0,0.0,36253980.0,8504020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2026,1005007932600.0001,0.0,7640484145790.0,8645492078390.0,217919218.95876002,197206946.19999996,56261981.71,216927640.82000002,66122329.02,34221205.37,9280326.879999999,0.0,0.0,0.0,16425325.29,25384593.63,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2027,0.0,0.0,7640484145790.0,7640484145790.0,217919218.95876002,197206946.19999996,56261981.71,216927640.82000002,66122329.02,34221205.37,9280326.879999999,0.0,0.0,0.0,16425325.29,25384593.63,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2028,0.0,0.0,7640484145790.0,7640484145790.0,217919218.95876002,197206946.19999996,56261981.71,216927640.82000002,66122329.02,34221205.37,9280326.879999999,0.0,0.0,0.0,16425325.29,25384593.63,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2029,0.0,0.0,7640484145790.0,7640484145790.0,217919218.95876002,197206946.19999996,56261981.71,216927640.82000002,66122329.02,34221205.37,9280326.879999999,0.0,0.0,0.0,16425325.29,25384593.63,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2030,4325213989400.0,0.0,6737007850540.0,11062221839940.0,169195835.57513997,145134888.79999998,41406130.04,159648377.67999998,48662874.480000004,25185171.88,6829877.12,10407091.2,7116876.8,357632.0,65528883.42,101271910.74,13719545.84,30556000.0,0.0,0.0,12800.0,384000.0,883200.0,129220.0,12792780.0,0.0,8.0,1.0,4.0
2031,0.0,0.0,6737007850540.0,6737007850540.0,169195835.57513997,145134888.79999998,41406130.04,159648377.67999998,48662874.480000004,25185171.88,6829877.12,10407091.2,7116876.8,357632.0,65528883.42,101271910.74,13719545.84,30556000.0,0.0,0.0,12800.0,384000.0,883200.0,129220.0,12792780.0,0.0,8.0,1.0,4.0
2032,0.0,0.0,6737007850540.0,6737007850540.0,169195835.57513997,145134888.79999998,41406130.04,159648377.67999998,48662874.480000004,25185171.88,6829877.12,10407091.2,7116876.8,357632.0,65528883.42,101271910.74,13719545.84,30556000.0,0.0,0.0,12800.0,384000.0,883200.0,129220.0,12792780.0,0.0,8.0,1.0,4.0
2033,8999603728780.0,0.0,6600239302400.0,15599843031180.0,123986335.12055999,103707133.2,29587035.060000002,114077846.52000001,34772391.72,17996237.82,4880335.680000001,81321661.08,55611720.12,2794558.8,65528883.42,101271910.74,13719545.84,21834000.0,0.0,0.0,100020.0,3000600.0,6901380.0,129220.0,12792780.0,0.0,6.0,3.0,4.0
2034,0.0,0.0,6600239302400.0,6600239302400.0,123986335.12055999,103707133.2,29587035.060000002,114077846.52000001,34772391.72,17996237.82,4880335.680000001,81321661.08,55611720.12,2794558.8,65528883.42,101271910.74,13719545.84,21834000.0,0.0,0.0,100020.0,3000600.0,6901380.0,129220.0,12792780.0,0.0,6.0,3.0,4.0
