Year,Coke_BB,Thermal coal_BB,BF gas_BB,COG_BB,BOF gas_BB,Natural gas_BB,Hydrogen_H2,Electricity_H2,Steam_H2,Natural gas_EAF,Electricity_EAF,Steam_EAF
2025,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2026,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2027,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2028,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2029,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2030,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2031,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2032,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2033,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2034,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2035,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2036,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2039,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2041,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0,0.0,0.0,10407091.2,7116876.8,357632.0,0.0,0.0,0.0
2050,0.0,0.0,-1.62632204592228e-09,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
