Year,CAPEX,Renewal Cost,OPEX,Total Emissions
2025,504420640000.0,0.0,226955238400.0,6634735.2192
2026,0.0,0.0,226955238400.0,6634735.2192
2027,0.0,0.0,226955238400.0,6634735.2192
2028,0.0,0.0,226955238400.0,6634735.2192
2029,0.0,0.0,226955238400.0,6634735.2192
2030,1320739827200.0,0.0,206883724800.0,0.0
2031,0.0,0.0,206883724800.0,0.0
2032,0.0,0.0,206883724800.0,0.0
2033,0.0,0.0,206883724800.0,0.0
2034,0.0,0.0,206883724800.0,0.0
2035,0.0,0.0,206883724800.0,0.0
2036,0.0,0.0,206883724800.0,0.0
2037,0.0,0.0,206883724800.0,0.0
2038,0.0,0.0,206883724800.0,0.0
2039,0.0,0.0,206883724800.0,0.0
2040,0.0,0.0,206883724800.0,0.0
2041,0.0,0.0,206883724800.0,0.0
2042,0.0,0.0,206883724800.0,0.0
2043,0.0,0.0,206883724800.0,0.0
2044,0.0,0.0,206883724800.0,0.0
2045,0.0,0.0,206883724800.0,0.0
2046,0.0,0.0,206883724800.0,0.0
2047,0.0,0.0,206883724800.0,0.0
2048,0.0,0.0,206883724800.0,0.0
2049,0.0,0.0,206883724800.0,0.0
2050,397162752000.0,0.0,110177574400.0,1071018.431999997
