Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2025,10606979010000.0,0.0,7935986375240.0,18542965385240.0,231998030.42262,212591548.39999995,60651118.22,233850703.24,71280695.64,36890886.34,10004308.159999998,0.0,0.0,0.0,0.0,0.0,0.0,36253980.0,8504020.0,0.0,-1.396983861923217e-09,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2026,0.0,1363939337100.0,7935986375240.0,9299925712340.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2027,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2028,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2029,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2030,0.0,4616507240700.0,7935986375240.0,12552493615940.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2031,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2032,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2033,0.0,3672824605800.0,7935986375240.0,11608810981040.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2034,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2035,0.0,805983294600.0,7935986375240.0,8741969669840.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2036,0.0,1784196039300.0,7935986375240.0,9720182414540.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2037,0.0,1738296259200.0,7935986375240.0,9674282634440.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2038,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2039,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2040,0.0,3339735375900.0,7935986375240.0,11275721751140.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2041,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2042,0.0,1526062413600.0,7935986375240.0,9462048788840.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2043,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2044,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2045,0.0,0.0,7935986375240.0,7935986375240.0,252723830.58383998,150689891.66,62526926.0,250107704.0,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2046,1295600000000.0,0.0,7640484145790.0,8936084145790.0,238160539.89716998,139784923.63,58002043.0,232008172.0,58002043.0,34221205.37,58002043.0,0.0,0.0,0.0,22579166.17,22624415.0,45248.83,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2047,0.0,0.0,7640484145790.0,7640484145790.0,238160539.89716998,139784923.63,58002043.0,232008172.0,58002043.0,34221205.37,58002043.0,0.0,0.0,0.0,22579166.17,22624415.0,45248.83,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2048,0.0,0.0,7640484145790.0,7640484145790.0,238160539.89716998,139784923.63,58002043.0,232008172.0,58002043.0,34221205.37,58002043.0,0.0,0.0,0.0,22579166.17,22624415.0,45248.83,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2049,0.0,0.0,7640484145790.0,7640484145790.0,238160539.89716998,139784923.63,58002043.0,232008172.0,58002043.0,34221205.37,58002043.0,0.0,0.0,0.0,22579166.17,22624415.0,45248.83,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2050,4385200000000.0,0.0,6640301700140.0,11025501700140.0,188868364.59678,102875024.12,42686732.0,170746928.0,42686732.0,25185171.88,42686732.0,0.0,0.0,0.0,99002568.06,99200970.0,198401.93999999593,30556000.0,0.0,0.0,1.98997701161575e-10,0.0,0.0,142020.0000000002,14059980.0,0.0,8.0,0.0,5.0
