Year,Coke_BB,Thermal coal_BB,BF gas_BB,COG_BB,BOF gas_BB,Natural gas_BB,Hydrogen_H2,Electricity_H2,Steam_H2,Natural gas_EAF,Electricity_EAF,Steam_EAF
2025,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2026,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,4309465.6,1788160.0,7152640.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,2.7799978852272e-09,3.72529029846191e-09,0.0,0.0,0.0,0.0,0.0,8922918.4,8940800.0,17881.5999999959
