Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2025,10606979010000.0,0.0,7935986375240.0,18542965385240.0,0.0,212591548.39999995,60651118.22,233850703.24,71280695.64,36890886.34,10004308.159999998,0.0,0.0,0.0,0.0,0.0,0.0,36253980.0,8504020.0,0.0,-1.396983861923217e-09,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2026,0.0,1363939337100.0,7935986375240.0,9299925712340.0,98000000.00000001,349053777.02389747,62526926.0,51743818.63610263,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2027,0.0,0.0,7935986375240.0,7935986375240.0,95999999.99999996,351617879.5880001,62526926.0,49179716.07199996,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2028,0.0,0.0,7935986375240.0,7935986375240.0,94000000.00000003,354181982.15210253,62526926.0,46615613.50789748,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2029,0.0,0.0,7935986375240.0,7935986375240.0,91999999.99999999,356746084.7162052,62526926.0,44051510.94379489,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2030,0.0,4616507240700.0,7935986375240.0,12552493615940.0,89999999.99999997,359310187.2803078,62526926.0,41487408.37969229,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2031,0.0,0.0,7935986375240.0,7935986375240.0,85999999.99999997,364438392.4085129,62526926.0,36359203.2514871,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2032,0.0,0.0,7935986375240.0,7935986375240.0,82000000.00000001,369566597.53671795,62526926.0,31230998.12328209,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2033,0.0,3672824605800.0,7935986375240.0,11608810981040.0,78000000.00000001,374694802.66492313,62526926.0,26102792.9950769,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2034,0.0,0.0,7935986375240.0,7935986375240.0,74000000.0,379823007.7931283,62526926.0,20974587.86687182,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
