Year,Total CAPEX,Total Renewal Cost,Total OPEX,Total Cost,Total Emissions,Fuel Consumption (Coke_BB),Fuel Consumption (Thermal coal_BB),Fuel Consumption (BF gas_BB),Fuel Consumption (COG_BB),Fuel Consumption (BOF gas_BB),Fuel Consumption (Natural gas_BB),Fuel Consumption (Hydrogen_H2),Fuel Consumption (Electricity_H2),Fuel Consumption (Steam_H2),Fuel Consumption (Natural gas_EAF),Fuel Consumption (Electricity_EAF),Fuel Consumption (Steam_EAF),Material Consumption (Iron ore_BB),Material Consumption (Scrap_BB),Material Consumption (DRI_BB),Material Consumption (Iron ore_H2),Material Consumption (Scrap_H2),Material Consumption (DRI_H2),Material Consumption (Iron ore_EAF),Material Consumption (Scrap_EAF),Material Consumption (DRI_EAF),Tech Adoption (BAT BF-BOF),Tech Adoption (H2-DRI-EAF),Tech Adoption (EAF)
2035,0.0,805983294600.0,7935986375240.0,8741969669840.0,70000000.00000003,384951212.9213334,62526926.0,15846382.7386667,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2036,0.0,1784196039300.0,7935986375240.0,9720182414540.0,66000000.000000015,390079418.04953855,62526926.0,10718177.6104615,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2037,0.0,1738296259200.0,7935986375240.0,9674282634440.0,62000000.000000015,395207623.1777436,62526926.0,5589972.48225643,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2038,0.0,0.0,7935986375240.0,7935986375240.0,58000000.00000003,400335828.3059487,62526926.0,461767.3540513,62526926.0,36890886.34,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2039,0.0,0.0,7935986375240.0,7935986375240.0,54000000.000000015,407116730.14583325,62526926.0,0.0,62526926.0,30571751.85416666,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2040,0.0,3339735375900.0,7935986375240.0,11275721751140.0,49999999.999999985,414061174.59027785,62526926.0,0.0,62526926.0,23627307.40972218,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2041,0.0,0.0,7935986375240.0,7935986375240.0,45999999.99999999,421005619.0347222,62526926.0,0.0,62526926.0,16682862.965277767,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2042,0.0,1526062413600.0,7935986375240.0,9462048788840.0,41999999.99999997,427950063.47916675,62526926.0,0.0,62526926.0,9738418.520833293,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2043,0.0,0.0,7935986375240.0,7935986375240.0,37999999.99999998,434894507.92361116,62526926.0,0.0,62526926.0,2793974.07638885,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2044,0.0,0.0,7935986375240.0,7935986375240.0,34000000.0,446076801.0596491,54138606.94035091,0.0,62526926.0,0.0,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2045,0.0,0.0,7935986375240.0,7935986375240.0,29999999.99999999,460111888.7789474,40103519.22105259,0.0,62526926.0,0.0,62526926.0,0.0,0.0,0.0,0.0,0.0,0.0,44758000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
2046,1295600000000.0,0.0,7640484145790.0,8936084145790.0,26000000.0,444339905.1150877,19676438.884912282,0.0,58002043.0,0.0,58002043.0,0.0,0.0,0.0,19185503.92,22624415.0,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2047,0.0,0.0,7640484145790.0,7640484145790.0,21999999.999999993,458374992.834386,5641351.165614,0.0,58002043.0,0.0,58002043.0,0.0,0.0,0.0,19185503.92,22624415.0,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2048,0.0,0.0,7640484145790.0,7640484145790.0,17999999.99999999,478514616.229091,0.0,0.0,58002043.0,0.0,43503770.77090901,0.0,0.0,0.0,19185503.92,22624415.0,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2049,0.0,0.0,7640484145790.0,7640484145790.0,14000000.0,502757040.4715152,0.0,0.0,58002043.0,0.0,19261346.52848485,0.0,0.0,0.0,19185503.92,22624415.0,3438911.08,41519000.0,0.0,0.0,0.0,0.0,0.0,32390.0,3206610.0,0.0,12.0,0.0,1.0
2050,4385200000000.0,0.0,6640301700140.0,11025501700140.0,9999999.999999987,426867320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60606060.60606052,122717331.9539395,15078547.44,30556000.0,0.0,0.0,-1.16415321826935e-10,0.0,0.0,142019.9999999999,14059980.0,0.0,8.0,0.0,5.0
