Year,Coke_BB,Thermal coal_BB,BF gas_BB,COG_BB,BOF gas_BB,Natural gas_BB,Hydrogen_H2,Electricity_H2,Steam_H2,Natural gas_EAF,Electricity_EAF,Steam_EAF
2025,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2026,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2028,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2029,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2030,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2031,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2032,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2033,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2034,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2035,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2036,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2038,11462105.6,1788160.0,0.0,1788160.0,1055014.4,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2039,11658859.6458333,1788160.0,0.0,1788160.0,858260.354166663,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2040,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2041,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,14305280.0,0.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,12517120.0,1788160.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,14305280.0,0.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,14305280.0,0.0,0.0,1788160.0,0.0,1788160.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7581798.4,8940800.0,1359001.6
