Year,CAPEX,Renewal Cost,OPEX,Total Emissions
2025,160224000000.0,0.0,226955238400.0,0.0
2026,0.0,0.0,226955238400.0,1648397.4144000001
2027,0.0,0.0,226955238400.0,1648397.4144000001
2028,0.0,0.0,226955238400.0,1648397.4144000001
2029,0.0,0.0,226955238400.0,1648397.4144000001
2030,0.0,539006592000.0,226955238400.0,1648397.4144000001
2031,0.0,0.0,226955238400.0,1648397.4144000001
2032,0.0,0.0,226955238400.0,1648397.4144000001
2033,0.0,0.0,226955238400.0,1648397.4144000001
2034,0.0,0.0,226955238400.0,1648397.4144000001
2035,0.0,0.0,226955238400.0,1648397.4144000001
2036,0.0,0.0,226955238400.0,1648397.4144000001
2037,0.0,0.0,226955238400.0,1648397.4144000001
2038,0.0,0.0,226955238400.0,1648397.4144000001
2039,0.0,0.0,226955238400.0,1535067.083999997
2040,0.0,0.0,226955238400.0,1040709.1199999999
2041,0.0,0.0,226955238400.0,1040709.1199999999
2042,0.0,0.0,226955238400.0,1040709.1199999999
2043,0.0,0.0,226955238400.0,1040709.1199999999
2044,0.0,0.0,226955238400.0,1040709.1199999999
2045,0.0,0.0,226955238400.0,531083.52
2046,0.0,0.0,226955238400.0,1040709.1199999999
2047,0.0,0.0,226955238400.0,1040709.1199999999
2048,0.0,0.0,226955238400.0,531083.52
2049,0.0,0.0,226955238400.0,531083.52
2050,512000000000.0,0.0,110177574400.0,1250996.736
