Year,Coke_BB,Thermal coal_BB,BF gas_BB,COG_BB,BOF gas_BB,Natural gas_BB,Hydrogen_H2,Electricity_H2,Steam_H2,Natural gas_EAF,Electricity_EAF,Steam_EAF
2025,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2026,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2027,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2028,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2029,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2030,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2031,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2032,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2033,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2034,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2035,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2036,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2037,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2038,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2039,6079744.0,1734515.2,6687718.4,2038502.4,1055014.4,286105.6,0.0,0.0,0.0,0.0,0.0,0.0
2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.80000004,10031577.6,1359001.59999996
2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6491020.8,10031577.6,1359001.6
