Year,CAPEX,Renewal Cost,OPEX,Total Emissions
2025,-504420640000.0,0.0,226955238400.0,6634735.2192
2026,0.0,0.0,226955238400.0,6634735.2192
2027,0.0,0.0,226955238400.0,6634735.2192
2028,0.0,0.0,226955238400.0,6634735.2192
2029,0.0,0.0,226955238400.0,6634735.2192
2030,0.0,0.0,226955238400.0,6634735.2192
2031,0.0,0.0,226955238400.0,6634735.2192
2032,0.0,0.0,226955238400.0,6634735.2192
2033,0.0,0.0,226955238400.0,6634735.2192
2034,0.0,0.0,226955238400.0,6634735.2192
2035,0.0,0.0,226955238400.0,6634735.2192
2036,0.0,0.0,226955238400.0,6634735.2192
2037,0.0,0.0,226955238400.0,6634735.2192
2038,0.0,0.0,226955238400.0,6634735.2192
2039,0.0,0.0,226955238400.0,6634735.2192
2040,397162752000.0,0.0,110177574400.0,1071018.432
2041,0.0,0.0,110177574400.0,1071018.432
2042,0.0,0.0,110177574400.0,1071018.432000006
2043,0.0,0.0,110177574400.0,1071018.432
2044,0.0,0.0,110177574400.0,1071018.432
2045,0.0,0.0,110177574400.0,1071018.432
2046,0.0,0.0,110177574400.0,1071018.432
2047,0.0,0.0,110177574400.0,1071018.432
2048,0.0,0.0,110177574400.0,1071018.432
2049,0.0,0.0,110177574400.0,1071018.432
2050,0.0,0.0,110177574400.0,1071018.432
